transaction_id,transaction_date,description,category,transaction_type,amount,payment_method,expected_category
1,2024-05-27,Pendapatan marketplace,Penjualan,Pemasukan,676749.0,QRIS,Penjualan
2,2024-05-15,Pendapatan proyek,Penjualan,Pemasukan,22241448.0,Tunai,Penjualan
3,2024-05-01,Investasi investor,Modal & Investasi,Pemasukan,85947193.0,Transfer Bank,Modal & Investasi
3001,2024-05-05,Penjualan produk,Penjualan,Pemasukan,1278397.0,Tunai,Penjualan
5,2024-05-06,Pendapatan proyek,Penjualan,Pemasukan,10420797.0,Lainnya,Penjualan
6,2024-05-10,PPh,Pajak & Perizinan,Pengeluaran,5171400.0,Transfer Bank,Pajak & Perizinan
7,2024-05-13,Pembelian printer,Peralatan & Aset,Pengeluaran,10661767.0,Transfer Bank,Peralatan & Aset
8,2024-05-22,Pembelian laptop,Peralatan & Aset,Pengeluaran,39964259.0,Transfer Bank,Peralatan & Aset
9,2024-05-07,Tools desain,Software & Langganan,Pengeluaran,222292.0,Transfer Bank,Software & Langganan
10,2024-05-06,Ongkos kirim,Transportasi & Logistik,Pengeluaran,255764.0,E-Wallet,Transportasi & Logistik
11,2024-05-05,Gaji karyawan,Gaji & Karyawan,Pengeluaran,8516065.0,Transfer Bank,Gaji & Karyawan
12,2024-05-03,Koreksi transaksi,Lain-lain,Pengeluaran,62110.0,Tunai,Lain-lain
13,2024-05-06,Event marketing,Marketing & Promosi,Pengeluaran,3982213.0,E-Wallet,Marketing & Promosi
14,2024-05-24,Kurir,Transportasi & Logistik,Pengeluaran,1417938.0,Tunai,Transportasi & Logistik
15,2024-05-22,Pembayaran utang supplier,Utang & Cicilan,Pengeluaran,12065811.0,Transfer Bank,Utang & Cicilan
16,2024-05-23,Donasi perusahaan,Lain-lain,Pengeluaran,3985229.0,Transfer Bank,Lain-lain
17,2024-05-12,Pembelian laptop,Peralatan & Aset,Pengeluaran,29279836.0,Transfer Bank,Peralatan & Aset
18,2024-06-25,Pendapatan proyek,Penjualan,Pemasukan,13108511.0,Transfer Bank,Penjualan
19,2024-06-15,Tambahan modal operasional,Modal & Investasi,Pemasukan,11522448.0,Transfer Bank,Modal & Investasi
20,2024-06-10,DP dari pelanggan,Piutang,Pemasukan,9407450.0,QRIS,Piutang
21,2024-06-21,Biaya ekspedisi,Transportasi & Logistik,Pengeluaran,2820998.0,Kartu Debit,Transportasi & Logistik
22,2024-06-25,Biaya MDR kartu,Biaya Bank,Pengeluaran,358482.0,Transfer Bank,Biaya Bank
23,2024-06-22,Administrasi legal,Pajak & Perizinan,Pengeluaran,11694001.0,Transfer Bank,Pajak & Perizinan
24,2024-06-21,Biaya ekspedisi,Transportasi & Logistik,Pengeluaran,1473809.0,E-Wallet,Transportasi & Logistik
25,2024-06-26,Cloud storage bisnis,Software & Langganan,Pengeluaran,915875.0,Kartu Kredit,Software & Langganan
26,2024-06-28,Uang lembur,Gaji & Karyawan,Pengeluaran,662062.0,Transfer Bank,Gaji & Karyawan
27,2024-06-17,Listrik kantor,Operasional Kantor,Pengeluaran,801331.0,Kartu Kredit,Operasional Kantor
28,2024-06-12,Pembelian perlengkapan produksi,Pembelian Stok,Pengeluaran,8675747.0,Tunai,Pembelian Stok
29,2024-07-29,Pinjaman usaha,Modal & Investasi,Pemasukan,83707814.0,Transfer Bank,Modal & Investasi
30,2024-07-23,Pembayaran piutang pelanggan,Piutang,Pemasukan,18817183.0,Transfer Bank,Piutang
31,2024-07-15,Penjualan produk,Penjualan,Pemasukan,1119693.0,QRIS,Penjualan
32,2024-07-10,Pembayaran piutang pelanggan,Piutang,Pemasukan,7343586.0,QRIS,Piutang
33,2024-07-17,Cicilan pelanggan,Piutang,Pemasukan,581126.0,QRIS,Piutang
34,2024-07-07,Pinjaman usaha,Modal & Investasi,Pemasukan,12526312.0,Transfer Bank,Modal & Investasi
35,2024-07-06,DP dari pelanggan,Piutang,Pemasukan,10997671.0,Payment Gateway,Piutang
36,2024-07-02,Domain website,Software & Langganan,Pengeluaran,1827425.0,Kartu Debit,Software & Langganan
37,2024-07-26,Restock produk,Pembelian Stok,Pengeluaran,12525065.0,Tunai,Pembelian Stok
38,2024-07-25,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,46078348.0,Transfer Bank,Utang & Cicilan
39,2024-07-13,ATK,Operasional Kantor,Pengeluaran,288238.0,Tunai,Operasional Kantor
40,2024-07-07,Event marketing,Marketing & Promosi,Pengeluaran,15220661.0,Kartu Kredit,Marketing & Promosi
41,2024-07-20,Pajak & Perizinan,Pajak & Perizinan,Pengeluaran,1590649.0,Transfer Bank,Pajak & Perizinan
42,2024-07-03,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,17293919.0,Transfer Bank,Utang & Cicilan
43,2024-07-14,Bayar pajak usaha,Pajak & Perizinan,Pengeluaran,26365043.0,Transfer Bank,Pajak & Perizinan
44,2024-08-24,Pembayaran piutang pelanggan,Piutang,Pemasukan,24972259.0,Payment Gateway,Piutang
45,2024-08-21,Pinjaman usaha,Modal & Investasi,Pemasukan,16851593.0,Transfer Bank,Modal & Investasi
46,2024-08-29,Pelunasan invoice,Piutang,Pemasukan,14280445.0,Payment Gateway,Piutang
47,2024-08-13,Pembayaran piutang pelanggan,Piutang,Pemasukan,6408740.0,Transfer Bank,Piutang
48,2024-08-22,Investasi investor,Modal & Investasi,Pemasukan,101290041.0,Transfer Bank,Modal & Investasi
49,2024-08-14,Cicilan pelanggan,Piutang,Pemasukan,1888812.0,QRIS,Piutang
50,2024-08-13,Setoran modal pemilik,Modal & Investasi,Pemasukan,49450843.0,Transfer Bank,Modal & Investasi
51,2024-08-18,Investasi investor,Modal & Investasi,Pemasukan,228520090.0,Transfer Bank,Modal & Investasi
52,2024-08-01,Pinjaman usaha,Modal & Investasi,Pemasukan,23936129.0,Transfer Bank,Modal & Investasi
53,2024-08-20,Biaya endorsement,Marketing & Promosi,Pengeluaran,19187001.0,Kartu Kredit,Marketing & Promosi
54,2024-08-23,Pembelian bahan baku,Pembelian Stok,Pengeluaran,18207611.0,Kartu Kredit,Pembelian Stok
55,2024-08-24,Restock produk,Pembelian Stok,Pengeluaran,4692371.0,E-Wallet,Pembelian Stok
56,2024-08-05,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,3401789.0,Transfer Bank,Pajak & Perizinan
57,2024-08-15,Refund pelanggan,Lain-lain,Pengeluaran,2099910.0,Tunai,Lain-lain
58,2024-08-27,Bensin operasional,Transportasi & Logistik,Pengeluaran,495317.0,E-Wallet,Transportasi & Logistik
59,2024-08-05,Listrik kantor,Operasional Kantor,Pengeluaran,692258.0,Transfer Bank,Operasional Kantor
60,2024-08-01,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,46983014.0,Transfer Bank,Peralatan & Aset
61,2024-08-18,Biaya tarik tunai,Biaya Bank,Pengeluaran,39370.0,Payment Gateway,Biaya Bank
