transaction_id,transaction_date,description,category,transaction_type,amount,payment_method,expected_category
1,2024-05-17,Bonus,Gaji,Pemasukan,1912165.0,Kartu Debit,Gaji
2,2024-05-18,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,201838.0,E-Wallet,Transfer Teman/Keluarga
3,2024-05-01,Ojek online,Transportasi,Pengeluaran,61356.0,Transfer Bank,Transportasi
4,2024-05-12,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,237207.0,Kartu Kredit,Belanja Bulanan
5,2024-05-10,Service AC kos,Tempat Tinggal,Pengeluaran,51338.0,Kartu Debit,Tempat Tinggal
6,2024-05-30,Ojek online,Transportasi,Pengeluaran,37499.0,Tunai,Transportasi
7,2024-05-21,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,310354.0,Tunai,Belanja Bulanan
8,2024-05-02,Pakaian baru,Belanja Bulanan,Pengeluaran,331997.0,Kartu Kredit,Belanja Bulanan
9,2024-05-08,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,134787.0,Kartu Debit,Transfer Teman/Keluarga
10,2024-05-05,Pulsa prabayar,Pulsa & Internet,Pengeluaran,80139.0,E-Wallet,Pulsa & Internet
11,2024-05-13,Ojek online,Transportasi,Pengeluaran,23617.0,Tunai,Transportasi
12,2024-05-28,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,322040.0,Kartu Debit,Belanja Bulanan
13,2024-05-27,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50113.0,Transfer Bank,Tempat Tinggal
14,2024-05-16,Kopi,Makanan & Minuman,Pengeluaran,31632.0,Transfer Bank,Makanan & Minuman
15,2024-05-08,Ojek online,Transportasi,Pengeluaran,22058.0,Transfer Bank,Transportasi
16,2024-06-23,Gaji bulanan,Gaji,Pemasukan,6052678.0,E-Wallet,Gaji
17,2024-06-19,Belanja dapur,Makanan & Minuman,Pengeluaran,314170.0,E-Wallet,Makanan & Minuman
18,2024-06-10,Makan malam restoran,Makanan & Minuman,Pengeluaran,499407.0,Kartu Kredit,Makanan & Minuman
19,2024-06-11,Paket data,Pulsa & Internet,Pengeluaran,50901.0,Kartu Kredit,Pulsa & Internet
20,2024-06-19,Makan malam restoran,Makanan & Minuman,Pengeluaran,448518.0,Kartu Debit,Makanan & Minuman
21,2024-06-18,Liburan,Hiburan,Pengeluaran,465047.0,E-Wallet,Hiburan
22,2024-06-11,Gym membership,Pembayaran Langganan,Pengeluaran,200629.0,Transfer Bank,Pembayaran Langganan
23,2024-06-11,Konser,Hiburan,Pengeluaran,359677.0,E-Wallet,Hiburan
24,2024-06-26,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51523.0,E-Wallet,Tempat Tinggal
25,2024-06-14,Konser,Hiburan,Pengeluaran,338240.0,E-Wallet,Hiburan
27,2024-06-05,Ojek online,Transportasi,Pengeluaran,53377.0,Kartu Debit,Transportasi
28,2024-06-21,Pulsa prabayar,Pulsa & Internet,Pengeluaran,61096.0,Kartu Kredit,Pulsa & Internet
29,2024-06-11,Langganan streaming,Hiburan,Pengeluaran,42859.0,Kartu Debit,Hiburan
30,2024-06-24,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,460941.0,Tunai,Belanja Bulanan
31,2024-06-10,Bensin,Transportasi,Pengeluaran,92798.0,Transfer Bank,Transportasi
32,2024-06-23,Tagihan internet,Pulsa & Internet,Pengeluaran,94934.0,E-Wallet,Pulsa & Internet
