transaction_id,transaction_date,description,category,transaction_type,amount,payment_method
1.0,2024-05-27,Pendapatan marketplace,Penjualan,Pemasukan,676749.0,QRIS
2.0,2024-05-15,Pendapatan proyek,Penjualan,Pemasukan,22241448.0,Tunai
3.0,2024-05-01,Investasi investor,Modal & Investasi,Pemasukan,85947193.0,Transfer Bank
,2024-05-05,Penjualan produk,Penjualan,Pemasukan,1278397.0,Tunai
5.0,2024-05-06,Pendapatan proyek,Penjualan,Pemasukan,10420797.0,
6.0,2024-05-10,PPh,Pajak & Perizinan,Pengeluaran,5171400.0,Transfer Bank
7.0,2024-05-13,Pembelian printer,Peralatan & Aset,Pengeluaran,10661767.0,Transfer Bank
8.0,2024-05-22,Pembelian laptop,Peralatan & Aset,Pengeluaran,39964259.0,Transfer Bank
9.0,2024-05-07,Tools desain,Software & Langganan,Pengeluaran,222292.0,Transfer Bank
10.0,2024-05-06,Ongkos kirim,Transportasi & Logistik,Pengeluaran,255764.0,E-Wallet
11.0,2024-05-05,Gaji karyawan,Gaji & Karyawan,Pengeluaran,8516065.0,Transfer Bank
12.0,2024-05-03,Koreksi transaksi,Lain-lain,Pengeluaran,62110.0,Tunai
13.0,2024-05-06,Event marketing,Piutang,Pengeluaran,3982213.0,E-Wallet
14.0,2024-05-24,Kurir,Transportasi & Logistik,Pengeluaran,1417938.0,Tunai
15.0,2024-05-22,Pembayaran utang supplier,Utang & Cicilan,Pengeluaran,12065811.0,Transfer Bank
16.0,2024-05-23,Donasi perusahaan,Lain-lain,Pengeluaran,3985229.0,Transfer Bank
17.0,2024-05-12,Pembelian laptop,Peralatan & Aset,Pengeluaran,29279836.0,Transfer Bank
18.0,2024-06-25,Pendapatan proyek,Penjualan,Pemasukan,13108511.0,Transfer Bank
19.0,2024-06-15,Tambahan modal operasional,Modal & Investasi,Pemasukan,11522448.0,Transfer Bank
20.0,2024-06-10,DP dari pelanggan,Piutang,Pemasukan,9407450.0,QRIS
21.0,2024-06-21,Biaya ekspedisi,Transportasi & Logistik,Pengeluaran,2820998.0,Kartu Debit
22.0,2024-06-25,Biaya MDR kartu,Biaya Bank,Pengeluaran,358482.0,Transfer Bank
23.0,2024-06-22,Administrasi legal,Pajak & Perizinan,Pengeluaran,11694001.0,Transfer Bank
24.0,2024-06-21,Biaya ekspedisi,Transportasi & Logistik,Pengeluaran,1473809.0,E-Wallet
25.0,2024-06-26,Cloud storage bisnis,Software & Langganan,Pengeluaran,915875.0,Kartu Kredit
26.0,2024-06-28,Uang lembur,Gaji & Karyawan,Pengeluaran,662062.0,Transfer Bank
27.0,2024-06-17,Listrik kantor,Operasional Kantor,Pengeluaran,801331.0,Kartu Kredit
28.0,2024-06-12,Pembelian perlengkapan produksi,Pembelian Stok,Pengeluaran,8675747.0,Tunai
29.0,2024-07-29,Pinjaman usaha,Modal & Investasi,Pemasukan,83707814.0,Transfer Bank
30.0,2024-07-23,Pembayaran piutang pelanggan,Piutang,Pemasukan,18817183.0,Transfer Bank
31.0,2024-07-15,Penjualan produk,Penjualan,Pemasukan,1119693.0,QRIS
32.0,2024-07-10,Pembayaran piutang pelanggan,Piutang,Pemasukan,7343586.0,QRIS
33.0,2024-07-17,Cicilan pelanggan,Piutang,Pemasukan,581126.0,QRIS
34.0,2024-07-07,Pinjaman usaha,Modal & Investasi,Pemasukan,12526312.0,Transfer Bank
35.0,2024-07-06,DP dari pelanggan,Piutang,Pemasukan,10997671.0,Payment Gateway
36.0,2024-07-02,Domain website,Software & Langganan,Pengeluaran,1827425.0,Kartu Debit
37.0,2024-07-26,Restock produk,Pembelian Stok,Pengeluaran,12525065.0,Tunai
38.0,2024-07-25,Pelunasan kredit usaha,Penjualan,Pengeluaran,46078348.0,Transfer Bank
39.0,2024-07-13,ATK,Operasional Kantor,Pengeluaran,288238.0,Tunai
40.0,2024-07-07,Event marketing,Marketing & Promosi,Pengeluaran,15220661.0,Kartu Kredit
41.0,2024-07-20,,Pajak & Perizinan,Pengeluaran,1590649.0,Transfer Bank
42.0,2024-07-03,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,17293919.0,Transfer Bank
43.0,2024-07-14,Bayar pajak usaha,Pajak & Perizinan,Pengeluaran,26365043.0,Transfer Bank
44.0,2024-08-24,Pembayaran piutang pelanggan,Piutang,Pemasukan,24972259.0,Payment Gateway
45.0,2024-08-21,Pinjaman usaha,Modal & Investasi,Pemasukan,16851593.0,Transfer Bank
46.0,2024-08-29,Pelunasan invoice,Piutang,Pemasukan,,Payment Gateway
47.0,2024-08-13,Pembayaran piutang pelanggan,Piutang,Pemasukan,6408740.0,Transfer Bank
48.0,2024-08-22,Investasi investor,Modal & Investasi,Pemasukan,101290041.0,Transfer Bank
49.0,2024-08-14,Cicilan pelanggan,Piutang,Pemasukan,1888812.0,QRIS
50.0,2024-08-13,Setoran modal pemilik,Modal & Investasi,Pemasukan,49450843.0,Transfer Bank
51.0,2024-08-18,Investasi investor,Modal & Investasi,Pemasukan,228520090.0,Transfer Bank
52.0,2024-08-01,Pinjaman usaha,Modal & Investasi,Pemasukan,23936129.0,Transfer Bank
53.0,2024-08-20,Biaya endorsement,Marketing & Promosi,Pengeluaran,19187001.0,Kartu Kredit
54.0,2024-08-23,Pembelian bahan baku,Pembelian Stok,,18207611.0,Kartu Kredit
55.0,2024-08-24,Restock produk,Pembelian Stok,Pengeluaran,4692371.0,E-Wallet
56.0,2024-08-05,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,3401789.0,Transfer Bank
57.0,2024-08-15,Refund pelanggan,Lain-lain,Pengeluaran,2099910.0,Tunai
58.0,2024-08-27,Bensin operasional,Transportasi & Logistik,Pengeluaran,495317.0,E-Wallet
59.0,2024-08-05,Listrik kantor,Operasional Kantor,Pengeluaran,692258.0,Transfer Bank
60.0,2024-08-01,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,46983014.0,Transfer Bank
61.0,2024-08-18,Biaya tarik tunai,Biaya Bank,Pengeluaran,39370.0,Payment Gateway
62.0,2024-08-14,Langganan software akuntansi,Software & Langganan,Pengeluaran,,Kartu Debit
63.0,2024-08-18,Restock produk,Pembelian Stok,Pengeluaran,9388339.0,Kartu Debit
64.0,2024-08-21,Selisih kas,Lain-lain,Pengeluaran,226112.0,Tunai
65.0,2024-08-06,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,-11980296.0,Transfer Bank
66.0,2024-08-21,Pembelian printer,Peralatan & Aset,Pengeluaran,6105580.0,Transfer Bank
67.0,2024-08-24,Biaya admin bank,Biaya Bank,Pengeluaran,49268.0,E-Wallet
68.0,2024-08-03,Bunga pinjaman,Utang & Cicilan,Pengeluaran,2916241.0,Transfer Bank
69.0,2024-08-19,Pembelian barang dagang,Pembelian Stok,Pengeluaran,3687870.0,Kartu Kredit
70.0,2024-08-26,Reimbursement karyawan,Gaji & Karyawan,Pengeluaran,384172.0,Transfer Bank
71.0,2024-08-15,Biaya MDR kartu,Biaya Bank,Pengeluaran,29030.0,Kartu Debit
72.0,2024-08-16,Restock produk,Pembelian Stok,Pengeluaran,24495735.0,Kartu Kredit
73.0,2024-08-13,Sewa kendaraan,Transportasi & Logistik,Pengeluaran,2691918.0,Tunai
74.0,2024-08-15,Kebersihan kantor,Operasional Kantor,Pengeluaran,239099.0,Kartu Kredit
75.0,2024-08-11,Pembelian laptop,Peralatan & Aset,Pengeluaran,5849610.0,Kartu Kredit
76.0,2024-08-28,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,34261895.0,Kartu Debit
77.0,2024-08-10,Administrasi legal,Pajak & Perizinan,Pengeluaran,8949508.0,Transfer Bank
78.0,2024-08-27,Pembelian bahan baku,Pembelian Stok,Pengeluaran,18877681.0,Tunai
79.0,2024-08-17,Donasi perusahaan,Lain-lain,Pengeluaran,8923891.0,E-Wallet
80.0,2024-08-22,Administrasi legal,Pajak & Perizinan,Pengeluaran,7044052.0,Transfer Bank
81.0,2024-08-14,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,4776107.0,Transfer Bank
82.0,2024-08-04,Bunga pinjaman,Utang & Cicilan,Pengeluaran,4854957.0,Transfer Bank
83.0,2024-08-23,Perawatan aset,Peralatan & Aset,Pengeluaran,4947563.0,Kartu Debit
84.0,2024-08-24,Pembelian barang dagang,Pembelian Stok,Pengeluaran,19604938.0,Kartu Debit
85.0,,Pembelian bahan baku,Pembelian Stok,Pengeluaran,16459630.0,Tunai
86.0,2024-08-15,Cloud storage bisnis,Software & Langganan,Pengeluaran,1303191.0,Kartu Debit
87.0,2024-08-29,Iklan online,Marketing & Promosi,Pengeluaran,7658414.0,Kartu Debit
88.0,2024-08-18,Sewa kantor,Operasional Kantor,Pengeluaran,12156045.0,Kartu Debit
89.0,2024-08-17,Bensin operasional,Transportasi & Logistik,Pengeluaran,158794.0,E-Wallet
90.0,2024-08-20,Domain website,Software & Langganan,Pengeluaran,1195665.0,Transfer Bank
91.0,2024-08-16,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,24230387.0,Transfer Bank
92.0,2024-08-01,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,17957534.0,Transfer Bank
93.0,2024-08-16,Kebersihan kantor,Operasional Kantor,Pengeluaran,309809.0,Transfer Bank
94.0,2024-08-13,Uang lembur,Gaji & Karyawan,Pengeluaran,652385.0,Transfer Bank
95.0,2024-08-28,Sewa kendaraan,Transportasi & Logistik,Pengeluaran,1453187.0,Tunai
96.0,2024-08-27,Biaya MDR kartu,Biaya Bank,Pengeluaran,333647.0,QRIS
97.0,2024-08-22,Perawatan aset,,Pengeluaran,3971701.0,Kartu Kredit
98.0,2024-08-22,Restock produk,Pembelian Stok,Pengeluaran,28995365.0,E-Wallet
99.0,2024-09-18,Tambahan modal operasional,Modal & Investasi,Pemasukan,12992206.0,Transfer Bank
100.0,2024-09-01,Investasi investor,Pembelian Stok,Pemasukan,68710369.0,Transfer Bank
101.0,2024-09-02,Pelunasan invoice,Piutang,Pemasukan,-25903994.0,Transfer Bank
102.0,2024-09-04,Setoran modal pemilik,Modal & Investasi,Pemasukan,46680530.0,Transfer Bank
103.0,2024-09-22,Investasi investor,Modal & Investasi,Pemasukan,62932860.0,Transfer Bank
104.0,2024-09-19,Pendapatan proyek,Penjualan,Pemasukan,4614313.0,Kartu Debit
105.0,2024-09-05,Pendapatan grosir,Penjualan,Pemasukan,23397927.0,QRIS
106.0,2024-09-06,Pembayaran piutang pelanggan,Piutang,Pemasukan,3261961.0,QRIS
107.0,2024-09-17,Pendapatan proyek,Penjualan,Pemasukan,18285919.0,E-Wallet
108.0,2024-09-11,Penjualan produk,Penjualan,Pemasukan,2215080.0,Tunai
109.0,2024-09-26,Pembayaran utang supplier,Utang & Cicilan,Pengeluaran,31065960.0,Transfer Bank
110.0,2024-09-17,Biaya endorsement,Marketing & Promosi,Pengeluaran,15098314.0,Transfer Bank
111.0,2024-09-09,Diskon promosi,Marketing & Promosi,Pengeluaran,,Transfer Bank
112.0,2024-09-11,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,13909115.0,Transfer Bank
113.0,2024-09-15,Cloud storage bisnis,Software & Langganan,Pengeluaran,1801795.0,Transfer Bank
114.0,2024-09-05,Pembelian laptop,Peralatan & Aset,Pengeluaran,20067357.0,Transfer Bank
115.0,2024-09-11,Sewa kendaraan,,Pengeluaran,2297766.0,Kartu Debit
116.0,2024-09-19,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,31756983.0,Transfer Bank
117.0,2024-09-15,Biaya MDR kartu,Biaya Bank,Pengeluaran,562151.0,E-Wallet
118.0,2024-09-18,Selisih kas,Lain-lain,Pengeluaran,324509.0,Transfer Bank
119.0,2024-09-23,BPJS Karyawan,Gaji & Karyawan,Pengeluaran,1197107.0,Transfer Bank
120.0,2024-09-01,Perawatan aset,,Pengeluaran,2581302.0,Transfer Bank
121.0,2024-09-01,THR,Gaji & Karyawan,Pengeluaran,2077812.0,Transfer Bank
122.0,2024-09-17,Iklan online,Marketing & Promosi,Pengeluaran,19048948.0,Transfer Bank
123.0,2024-09-16,Kurir,Transportasi & Logistik,Pengeluaran,1775182.0,Tunai
124.0,2024-09-15,Bunga pinjaman,Utang & Cicilan,Pengeluaran,2063293.0,Transfer Bank
125.0,2024-09-06,Cloud storage bisnis,Software & Langganan,Pengeluaran,582060.0,E-Wallet
126.0,2024-09-27,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,17384389.0,Transfer Bank
127.0,2024-09-05,Donasi perusahaan,Piutang,Pengeluaran,1649125.0,Transfer Bank
128.0,2024-09-10,PPh,Pajak & Perizinan,Pengeluaran,9624700.0,Transfer Bank
129.0,2024-09-18,Donasi perusahaan,Lain-lain,Pengeluaran,1988448.0,Transfer Bank
130.0,2024-09-08,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,8560130.0,Kartu Kredit
131.0,2024-09-25,Gaji karyawan,Gaji & Karyawan,Pengeluaran,4976870.0,Transfer Bank
132.0,2024-09-17,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,1931952.0,Transfer Bank
133.0,2024-09-07,Biaya tarik tunai,Biaya Bank,Pengeluaran,26541.0,Kartu Debit
134.0,2024-09-15,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,21724193.0,Transfer Bank
135.0,2024-10-15,Investasi investor,Modal & Investasi,Pemasukan,162741202.0,Transfer Bank
136.0,2024-10-18,Pinjaman usaha,Modal & Investasi,Pemasukan,25817255.0,Transfer Bank
137.0,2024-10-24,Penjualan jasa,Penjualan,Pemasukan,15856979.0,Kartu Debit
138.0,2024-10-16,Pinjaman usaha,Modal & Investasi,Pemasukan,25875924.0,Transfer Bank
139.0,2024-10-13,Investasi investor,Modal & Investasi,Pemasukan,233030487.0,Transfer Bank
140.0,2024-10-21,Investasi investor,Modal & Investasi,Pemasukan,136516640.0,Transfer Bank
141.0,2024-10-01,DP dari pelanggan,Piutang,Pemasukan,1214992.0,Payment Gateway
142.0,2024-10-23,Pinjaman usaha,Modal & Investasi,Pemasukan,99894449.0,Transfer Bank
143.0,2024-10-18,DP dari pelanggan,Piutang,Pemasukan,7727644.0,QRIS
144.0,2024-10-23,Diskon promosi,Marketing & Promosi,Pengeluaran,1844609.0,Kartu Kredit
145.0,2024-10-13,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,13386764.0,Transfer Bank
146.0,2024-10-24,ATK,Operasional Kantor,Pengeluaran,544804.0,Kartu Debit
147.0,2024-10-14,Tools desain,Software & Langganan,Pengeluaran,1893315.0,E-Wallet
148.0,2024-10-29,Event marketing,Marketing & Promosi,Pengeluaran,12273227.0,Transfer Bank
149.0,2024-10-30,THR,Gaji & Karyawan,Pengeluaran,4544488.0,Transfer Bank
150.0,2024-10-27,Hosting website,Software & Langganan,Pengeluaran,202144.0,Kartu Debit
151.0,2024-10-11,Langganan software akuntansi,Software & Langganan,Pengeluaran,243158.0,Kartu Kredit
152.0,2024-10-21,Pembayaran utang supplier,Utang & Cicilan,,7656559.0,Transfer Bank
153.0,2024-10-14,Pelunasan kredit usaha,Penjualan,Pengeluaran,39693522.0,Transfer Bank
154.0,2024-10-20,Reimbursement karyawan,Gaji & Karyawan,Pengeluaran,323617.0,Transfer Bank
